Joueur,Pseudo,Date,Domicile,Exterieur,Resultat,Prono,Pari_1N2,Cote,Multiplicateur,Bonus,Points
Gaspard,CHOCHO_27,mardi 16 juin,Iran,Nouvelle-Zélande,2:2,1-2,2,130,1,,0
Gaspard,CHOCHO_27,lundi 15 juin,Suède,Tunisie,5:1,2-1,1,72,1,,72
Gaspard,CHOCHO_27,lundi 15 juin,Espagne,Cap-Vert,0:0,4-0,1,16,1,,0
Gaspard,CHOCHO_27,lundi 15 juin,Belgique,Égypte,1:1,0-1,2,135,1,,0
Gaspard,CHOCHO_27,lundi 15 juin,Arabie saoudite,Uruguay,1:1,1-3,2,50,1,,0
Gaspard,CHOCHO_27,dimanche 14 juin,Haïti,Écosse,0:1,0-2,2,44,1,,44
Gaspard,CHOCHO_27,dimanche 14 juin,Australie,Turquie,2:0,0-0,N,115,1,,0
Gaspard,CHOCHO_27,dimanche 14 juin,Allemagne,Curaçao,7:1,5-0,1,15,1,,15
Gaspard,CHOCHO_27,dimanche 14 juin,Pays-Bas,Japon,2:2,1-1,N,115,1,,115
Gaspard,CHOCHO_27,dimanche 14 juin,Côte d'Ivoire,Équateur,1:0,1-1,N,101,1,,0
Gaspard,CHOCHO_27,samedi 13 juin,États-Unis,Paraguay,4:1,2-0,1,74,1,,74
Gaspard,CHOCHO_27,samedi 13 juin,Qatar,Suisse,1:1,0-3,2,33,1,,0
Gaspard,CHOCHO_27,samedi 13 juin,Brésil,Maroc,1:1,2-3,2,140,2,,0
Gaspard,CHOCHO_27,vendredi 12 juin,Corée du Sud,Tchéquie,2:1,2-1,1,96,1,Exact +20,116
Gaspard,CHOCHO_27,vendredi 12 juin,Canada,Bosnie,1:1,2-0,1,65,1,,0
Gaspard,CHOCHO_27,jeudi 11 juin,Mexique,Afrique du Sud,2:0,1-1,N,125,1,,0
Nicolas,NICOLAS232345,mardi 16 juin,Iran,Nouvelle-Zélande,2:2,1-1,N,116,1,,116
Nicolas,NICOLAS232345,lundi 15 juin,Suède,Tunisie,5:1,1-0,1,72,1,,72
Nicolas,NICOLAS232345,lundi 15 juin,Espagne,Cap-Vert,0:0,6-0,1,16,1,,0
Nicolas,NICOLAS232345,lundi 15 juin,Belgique,Égypte,1:1,2-1,1,57,1,,0
Nicolas,NICOLAS232345,lundi 15 juin,Arabie saoudite,Uruguay,1:1,1-3,2,50,1,,0
Nicolas,NICOLAS232345,dimanche 14 juin,Haïti,Écosse,0:1,0-4,2,44,1,,44
Nicolas,NICOLAS232345,dimanche 14 juin,Australie,Turquie,2:0,1-1,N,115,1,,0
Nicolas,NICOLAS232345,dimanche 14 juin,Allemagne,Curaçao,7:1,6-0,1,15,2,,30
Nicolas,NICOLAS232345,dimanche 14 juin,Pays-Bas,Japon,2:2,2-2,N,115,1,Exact +20,135
Nicolas,NICOLAS232345,dimanche 14 juin,Côte d'Ivoire,Équateur,1:0,1-0,1,108,1,Rare +30,138
Nicolas,NICOLAS232345,samedi 13 juin,États-Unis,Paraguay,4:1,2-1,1,74,1,,74
Nicolas,NICOLAS232345,samedi 13 juin,Qatar,Suisse,1:1,0-2,2,33,1,,0
Nicolas,NICOLAS232345,samedi 13 juin,Brésil,Maroc,1:1,2-1,1,55,1,,0
Nicolas,NICOLAS232345,vendredi 12 juin,Corée du Sud,Tchéquie,2:1,1-1,N,107,1,,0
Nicolas,NICOLAS232345,vendredi 12 juin,Canada,Bosnie,1:1,3-0,1,65,1,,0
Nicolas,NICOLAS232345,jeudi 11 juin,Mexique,Afrique du Sud,2:0,3-1,1,49,1,,49
Bertrand,CRAZYBE,mardi 16 juin,Iran,Nouvelle-Zélande,2:2,1-1,N,116,1,,116
Bertrand,CRAZYBE,lundi 15 juin,Suède,Tunisie,5:1,2-1,1,72,1,,72
Bertrand,CRAZYBE,lundi 15 juin,Espagne,Cap-Vert,0:0,4-0,1,16,1,,0
Bertrand,CRAZYBE,lundi 15 juin,Belgique,Égypte,1:1,3-1,1,57,1,,0
Bertrand,CRAZYBE,lundi 15 juin,Arabie saoudite,Uruguay,1:1,0-2,2,50,1,,0
Bertrand,CRAZYBE,dimanche 14 juin,Haïti,Écosse,0:1,0-3,2,44,1,,44
Bertrand,CRAZYBE,dimanche 14 juin,Australie,Turquie,2:0,1-2,2,66,1,,0
Bertrand,CRAZYBE,dimanche 14 juin,Allemagne,Curaçao,7:1,5-0,1,15,2,,30
Bertrand,CRAZYBE,dimanche 14 juin,Pays-Bas,Japon,2:2,3-0,1,74,1,,0
Bertrand,CRAZYBE,dimanche 14 juin,Côte d'Ivoire,Équateur,1:0,2-1,1,108,1,,108
Bertrand,CRAZYBE,samedi 13 juin,États-Unis,Paraguay,4:1,2-0,1,74,1,,74
Bertrand,CRAZYBE,samedi 13 juin,Qatar,Suisse,1:1,0-2,2,33,1,,0
Bertrand,CRAZYBE,samedi 13 juin,Brésil,Maroc,1:1,3-1,1,55,1,,0
Bertrand,CRAZYBE,vendredi 12 juin,Corée du Sud,Tchéquie,2:1,2-1,1,96,1,Exact +20,116
Bertrand,CRAZYBE,vendredi 12 juin,Canada,Bosnie,1:1,1-0,1,65,1,,0
Bertrand,CRAZYBE,jeudi 11 juin,Mexique,Afrique du Sud,2:0,2-1,1,49,1,,49
Frederic,FREDFLIP,mardi 16 juin,Iran,Nouvelle-Zélande,2:2,1-1,N,116,1,,116
Frederic,FREDFLIP,lundi 15 juin,Suède,Tunisie,5:1,,,,,,0
Frederic,FREDFLIP,lundi 15 juin,Espagne,Cap-Vert,0:0,4-0,1,16,1,,0
Frederic,FREDFLIP,lundi 15 juin,Belgique,Égypte,1:1,3-1,1,57,1,,0
Frederic,FREDFLIP,lundi 15 juin,Arabie saoudite,Uruguay,1:1,,,,,,0
Frederic,FREDFLIP,dimanche 14 juin,Haïti,Écosse,0:1,0-2,2,44,1,,44
Frederic,FREDFLIP,dimanche 14 juin,Australie,Turquie,2:0,0-1,2,66,1,,0
Frederic,FREDFLIP,dimanche 14 juin,Allemagne,Curaçao,7:1,5-0,1,15,1,,15
Frederic,FREDFLIP,dimanche 14 juin,Pays-Bas,Japon,2:2,2-1,1,74,1,,0
Frederic,FREDFLIP,dimanche 14 juin,Côte d'Ivoire,Équateur,1:0,1-1,N,101,1,,0
Frederic,FREDFLIP,samedi 13 juin,États-Unis,Paraguay,4:1,1-0,1,74,1,,74
Frederic,FREDFLIP,samedi 13 juin,Qatar,Suisse,1:1,0-3,2,33,1,,0
Frederic,FREDFLIP,samedi 13 juin,Brésil,Maroc,1:1,1-1,N,122,1,Exact +20,142
Frederic,FREDFLIP,vendredi 12 juin,Corée du Sud,Tchéquie,2:1,1-2,2,91,1,,0
Frederic,FREDFLIP,vendredi 12 juin,Canada,Bosnie,1:1,2-2,N,117,1,,117
Frederic,FREDFLIP,jeudi 11 juin,Mexique,Afrique du Sud,2:0,3-0,1,49,1,,49
Alexandre,ALEXLASTAAAAAR,mardi 16 juin,Iran,Nouvelle-Zélande,2:2,1-1,N,116,1,,116
Alexandre,ALEXLASTAAAAAR,lundi 15 juin,Suède,Tunisie,5:1,1-0,1,72,1,,72
Alexandre,ALEXLASTAAAAAR,lundi 15 juin,Espagne,Cap-Vert,0:0,4-0,1,16,1,,0
Alexandre,ALEXLASTAAAAAR,lundi 15 juin,Belgique,Égypte,1:1,3-1,1,57,1,,0
Alexandre,ALEXLASTAAAAAR,lundi 15 juin,Arabie saoudite,Uruguay,1:1,0-1,2,50,1,,0
Alexandre,ALEXLASTAAAAAR,dimanche 14 juin,Haïti,Écosse,0:1,0-2,2,44,1,,44
Alexandre,ALEXLASTAAAAAR,dimanche 14 juin,Australie,Turquie,2:0,1-2,2,66,1,,0
Alexandre,ALEXLASTAAAAAR,dimanche 14 juin,Allemagne,Curaçao,7:1,4-0,1,15,1,,15
Alexandre,ALEXLASTAAAAAR,dimanche 14 juin,Pays-Bas,Japon,2:2,1-1,N,115,2,,230
Alexandre,ALEXLASTAAAAAR,dimanche 14 juin,Côte d'Ivoire,Équateur,1:0,1-0,1,108,1,Rare +30,138
Alexandre,ALEXLASTAAAAAR,samedi 13 juin,États-Unis,Paraguay,4:1,2-1,1,74,1,,74
Alexandre,ALEXLASTAAAAAR,samedi 13 juin,Qatar,Suisse,1:1,0-3,2,33,1,,0
Alexandre,ALEXLASTAAAAAR,samedi 13 juin,Brésil,Maroc,1:1,2-2,N,122,1,,122
Alexandre,ALEXLASTAAAAAR,vendredi 12 juin,Corée du Sud,Tchéquie,2:1,1-0,1,96,1,,96
Alexandre,ALEXLASTAAAAAR,vendredi 12 juin,Canada,Bosnie,1:1,1-1,N,117,1,Exact +20,137
Alexandre,ALEXLASTAAAAAR,jeudi 11 juin,Mexique,Afrique du Sud,2:0,2-0,1,49,1,Exact +20,69
