Match,Score,Cote,Pct_parieurs
Belgique vs Egypte,1-0,6.00,6
Belgique vs Egypte,0-0,9.00,5
Belgique vs Egypte,0-1,12.50,1
Belgique vs Egypte,2-0,6.25,12
Belgique vs Egypte,1-1,6.50,8
Belgique vs Egypte,0-2,28,0
Belgique vs Egypte,2-1,7.50,23
Belgique vs Egypte,2-2,15,5
Belgique vs Egypte,1-2,15,1
Belgique vs Egypte,3-0,9.00,6
Belgique vs Egypte,3-3,55,2
Belgique vs Egypte,0-3,60,0
Belgique vs Egypte,3-1,11,13
Belgique vs Egypte,4-4,250,0
Belgique vs Egypte,1-3,46,0
Belgique vs Egypte,3-2,25,3
Belgique vs Egypte,Autre,42,0
Belgique vs Egypte,2-3,48,0
Belgique vs Egypte,4-0,18,3
Belgique vs Egypte,0-4,170,0
Belgique vs Egypte,4-1,22,4
Belgique vs Egypte,1-4,110,0
Belgique vs Egypte,4-2,46,1
Belgique vs Egypte,2-4,110,0
Belgique vs Egypte,4-3,90,0
Belgique vs Egypte,3-4,160,0
Belgique vs Egypte,5-0,40,2
Belgique vs Egypte,0-5,500,0
Belgique vs Egypte,5-1,48,2
Belgique vs Egypte,1-5,450,0
Arabie Saoudite vs Uruguay,1-0,13,3
Arabie Saoudite vs Uruguay,0-0,8.00,11
Arabie Saoudite vs Uruguay,0-1,4.90,11
Arabie Saoudite vs Uruguay,2-0,36,2
Arabie Saoudite vs Uruguay,1-1,7.25,8
Arabie Saoudite vs Uruguay,0-2,5.20,29
Arabie Saoudite vs Uruguay,2-1,21,3
Arabie Saoudite vs Uruguay,2-2,21,2
Arabie Saoudite vs Uruguay,1-2,7.75,15
Arabie Saoudite vs Uruguay,3-0,85,0
Arabie Saoudite vs Uruguay,3-3,80,0
Arabie Saoudite vs Uruguay,0-3,7.75,4
Arabie Saoudite vs Uruguay,3-1,60,0
Arabie Saoudite vs Uruguay,4-4,450,0
Arabie Saoudite vs Uruguay,1-3,11.50,6
Arabie Saoudite vs Uruguay,3-2,60,0
Arabie Saoudite vs Uruguay,Autre,42,1
Arabie Saoudite vs Uruguay,2-3,32,0
Arabie Saoudite vs Uruguay,4-0,350,0
Arabie Saoudite vs Uruguay,0-4,15,2
Arabie Saoudite vs Uruguay,4-1,200,0
Arabie Saoudite vs Uruguay,1-4,23,1
Iran vs Nouvelle-Zelande,1-0,4.90,16
Iran vs Nouvelle-Zelande,0-0,6.50,13
Iran vs Nouvelle-Zelande,0-1,8.50,2
Iran vs Nouvelle-Zelande,2-0,6.25,15
Iran vs Nouvelle-Zelande,1-1,6.00,7
Iran vs Nouvelle-Zelande,0-2,21,1
Iran vs Nouvelle-Zelande,2-1,7.75,13
Iran vs Nouvelle-Zelande,2-2,18,1
Iran vs Nouvelle-Zelande,1-2,14.50,1
Iran vs Nouvelle-Zelande,3-0,11.50,2
Iran vs Nouvelle-Zelande,3-3,70,0
Iran vs Nouvelle-Zelande,0-3,55,0
Iran vs Nouvelle-Zelande,3-1,14.50,5
Iran vs Nouvelle-Zelande,4-4,450,5
Iran vs Nouvelle-Zelande,1-3,46,0
Iran vs Nouvelle-Zelande,3-2,34,1
Iran vs Nouvelle-Zelande,Autre,70,1
Iran vs Nouvelle-Zelande,2-3,50,0
Iran vs Nouvelle-Zelande,4-0,28,1
Iran vs Nouvelle-Zelande,0-4,150,0
